alpha,L1,L2,L3,e1,e2,e3
0.692,-0.2743755339339595,1.126379306752828,-1.2549928840364988,2.409440646813897,0.43227415517162876,0.02656624569025438
0.693,-0.275842459275777,1.1259831326888894,-1.2552143647753726,2.4008748219848015,0.4330403334843116,0.026717058189999893
0.694,-0.2773100464875182,1.125586802829748,-1.2554347860857114,2.392397321546737,0.43380699735948036,0.026868684024701207
0.695,-0.2787783011042786,1.1251903179629394,-1.2556541414295315,2.3840067810450116,0.43457414723029686,0.027021128497353802
0.696,-0.28024722870439334,1.1247936788731747,-1.2558724242121082,2.3757018638335836,0.4353417835300683,0.027174396960982925
0.697,-0.28171683491000876,1.1243968863423581,-1.256089627781328,2.367481260368725,0.43610990669224364,0.02732849481925233
0.698,-0.283187125387661,1.1239999411496044,-1.256305745426982,2.3593436875240785,0.43687851715041137,0.027483427527123568
0.699,-0.284658105848861,1.1236028440712493,-1.256520770380051,2.3512878879263823,0.4376476153383043,0.02763920059152286
0.7,-0.28612978205068873,1.1232055958808689,-1.2567346958119845,2.3433126293110984,0.43841720168979464,0.02779581957201589
0.701,-0.2876021597964047,1.1228081973492876,-1.2569475148340041,2.335416703897247,0.43918727663890184,0.02795329008146319
0.702,-0.2890752449360562,1.1224106492445995,-1.257159220496331,2.3275989277808553,0.43995784061978443,0.028111617786740015
0.703,-0.29054904336710585,1.1220129523321742,-1.2573698057874787,2.31985814034627,0.44072889406675125,0.0282708084094045
0.704,-0.29202356103506655,1.1216151073746843,-1.257579263633425,2.3121932036947994,0.44150043741424455,0.028430867726465855
0.705,-0.29349880393413863,1.1212171151321009,-1.257787586896911,2.304603002090091,0.4422724710968637,0.028591801571052115
0.706,-0.2949747781078682,1.1208189763617271,-1.2579947683765982,2.2970864414196117,0.4430449955493412,0.028753615833193948
0.707,-0.2964514896498125,1.1204206918181954,-1.2582008008063044,2.2896424486717453,0.44381801120656394,0.02891631646054715
0.708,-0.29792894470420583,1.1200222622534928,-1.258405676854186,2.282269971427998,0.4445915185035589,0.02907990945916101
0.709,-0.2994071494666535,1.1196236884169664,-1.258609389121899,2.27496797736971,0.4453655178755039,0.029244400894265683
0.71,-0.30088611018482414,1.1192249710553468,-1.2588119301437846,2.2677354537988945,0.44614000975771523,0.029409796891041617
0.711,-0.302365833159155,1.1188261109127469,-1.2590132923859887,2.2605714071726926,0.4469149945856674,0.0295761036354454
0.712,-0.30384632474357165,1.1184271087306905,-1.2592134682456388,2.253474862650974,0.44769047279497326,0.02974332737499098
0.713,-0.3053275913462148,1.1180279652481189,-1.2594124500499158,2.246444863656697,0.44846644482139375,0.029911474419618847
0.714,-0.3068096394301909,1.1176286812013978,-1.2596102300552103,2.2394804714485326,0.44924291110084563,0.03008055114249818
0.715,-0.30829247551431394,1.1172292573243476,-1.2598068004461878,2.2325807647054874,0.4500198720693802,0.030250563980906812
0.716,-0.3097761061738802,1.1168296943482334,-1.2600021533348598,2.225744839122975,0.45079732816321366,0.03042151943710737
0.717,-0.3112605380414395,1.1164299930018005,-1.2601962807596703,2.2189718070201083,0.4515752798186978,0.03059342407921473
0.718,-0.3127457778075944,1.116030154011272,-1.2603891746845188,2.212260796957731,0.4523537274723396,0.030766284542116957
0.719,-0.3142318322217983,1.1156301781003672,-1.2605808269978298,2.2056109533669517,0.45313267156079645,0.030940107528361332
0.72,-0.3157187080931717,1.1152300659903136,-1.2607712295115021,2.199021436187789,0.45391211252087516,0.03111489980914098
0.721,-0.3172064122913427,1.1148298183998606,-1.2609603739599953,2.1924914205175714,0.4546920507895316,0.03129066822517229
0.722,-0.3186949517472806,1.1144294360452922,-1.261148251999229,2.1860200962689005,0.45547248680387165,0.03146741968772806
0.723,-0.32018433345416253,1.1140289196404352,-1.2613348552056105,2.179606667836746,0.4562534210011562,0.03164516117956871
0.724,-0.3216745644682434,1.1136282698966742,-1.2615201750749403,2.1732503537744794,0.4570348538187983,0.03182389975597616
0.725,-0.32316565190974655,1.1132274875229706,-1.2617042030213592,2.166950386478516,0.4578167856943551,0.032003642545756446
0.726,-0.3246576029637642,1.1128265732258649,-1.261886930376275,2.1607060118813353,0.4585992170655408,0.03218439675226277
0.727,-0.3261504248811812,1.1124255277094894,-1.262068348387234,2.154516489152577,0.4593821483702262,0.03236616965446587
